lemma	past_tense	type
はねかえる	はねかえった	4-2
にげかえる	にげかえった	4-2
ひっくりかえる	ひっくりかえった	4-2
あきれかえる	あきれかえった	4-2
ける	けった	4-2
よみふける	よみふけった	4-2
みかえる	みかえった	4-2
うらがえる	うらがえった	4-2
よみがえる	よみがえった	4-2
しげる	しげった	4-2
ひるがえる	ひるがえった	4-2
おさまりかえる	おさまりかえった	4-2
せる	せった	4-2
たちかえる	たちかえった	4-2
すりへる	すりへった	4-2
おいしげる	おいしげった	4-2
いきかえる	いきかえった	4-2
にえかえる	にえかえった	4-2
あせる	あせった	4-2
ほてる	ほてった	4-2
わきかえる	わきかえった	4-2
まがりくねる	まがりくねった	4-2
せせる	せせった	4-2
つねる	つねった	4-2
おもいふける	おもいふけった	4-2
ねがえる	ねがえった	4-2
ねそべる	ねそべった	4-2
あざける	あざけった	4-2
むせかえる	むせかえった	4-2
しゃべる	しゃべった	4-2
そりかえる	そりかえった	4-2
ひねる	ひねった	4-2
さえかえる	さえかえった	4-2
はべる	はべった	4-2
かげる	かげった	4-2
わかがえる	わかがえった	4-2
あまがける	あまがけった	4-2
